autor,date,editoria,id_dn,link,link_rel,link_rel_interno,sub_titulo,tags,time,titulo
Redação,19 de Novembro de 2019,Segurança,2176430,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/online/diarista-e-morta-a-tiros-na-frente-do-namorado-na-parangaba-1.2176430,0,0,"Mulher morava com os pais, os irmãos e o filho de 5 anos","diarista,tiro,violência",01:12,Diarista é morta a tiros na frente do namorado na Parangaba
Redação,19 de Novembro de 2019,Segurança,2176291,https://diariodonordeste.verdesmares.com.br/editorias/seguranca/acusado-de-matar-gege-e-paca-vai-para-presidio-federal-1.2176291,0,0,André Luís da Costa Lopes está entre os 10 acusados de matar dois líderes da facção criminosa PCC. O caso permanece em fase de instrução processual. Quatro acusados do duplo homicídio foram presos e seis estão foragidos,"Crimes e Justiça,PCC",06:00,Acusado de matar 'Gegê' e 'Paca' vai para presídio federal
Estadão Conteúdo,19 de Novembro de 2019,Negócios,2176350,https://diariodonordeste.verdesmares.com.br/editorias/negocios/online/hapvida-fecha-acordo-para-adquirir-carteira-de-12-mil-clientes-da-agemed-em-sc-1.2176350,0,0,A fechou um protocolo de entendimentos para adquirir uma carteira de aproximadamente 12 mil vidas que hoje pertence à Agemed,Economia,07:00,Hapvida fecha acordo para adquirir carteira de 12 mil clientes da Agemed em SC
André Almeida,18 de Novembro de 2019,Jogada,2176327,https://diariodonordeste.verdesmares.com.br/editorias/jogada/chance-do-fortaleza-cair-e-menor-que-1-de-ir-pra-sula-mais-de-85-1.2176327,0,0,Tricolor encaminhou sua permanência na Primeira Divisão após vitória sobre o CSA e agora mira classificação para a Taça Sul-Americana para que possa participar pela primeira vez de uma competição internacional,"Esportes,brasileirão série a,fortaleza esporte clube",23:00,"Chance do Fortaleza cair é menor que 1%; de ir pra Sula, mais de 85%"
Bruno Cabral,18 de Novembro de 2019,Negócios,2176321,https://diariodonordeste.verdesmares.com.br/editorias/negocios/reducao-de-subsidios-pode-travar-investimentos-em-energia-solar-1.2176321,0,0,"Segundo Aneel, incentivos para a geração distribuída de energia fotovoltaica equivalem a custo de programa que concede descontos na conta de luz para baixa renda. Empresários contestam cálculo e apontam prejuízos ao setor","Economia,energia solar,energia elétrica",23:00,Redução de subsídios pode travar investimentos em energia solar
Redação,18 de Novembro de 2019,Política,2176307,https://diariodonordeste.verdesmares.com.br/editorias/politica/toffoli-anula-decisao-que-dava-acesso-a-dados-de-600-mil-pessoas-1.2176307,0,0,"O presidente do Supremo Tribunal Federal, ministro Dias Toffoli, recuou da decisão que determinou que o antigo Coaf lhe enviasse cópias de todos os relatórios de inteligência financeira (RIFs) feitos nos últimos três anos","Dados do Coaf,Dias Toffoli,STF",23:00,Toffoli anula decisão que dava acesso a dados de 600 mil pessoas
Redação,18 de Novembro de 2019,Metro,2176398,https://diariodonordeste.verdesmares.com.br/editorias/metro/mais-um-predio-e-evacuado-em-fortaleza-apos-desabamento-parcial-de-fachada-1.2176398,0,0,Imóvel foi interditado pela Defesa Civil de Fortaleza até que tenha sua estrutura totalmente avaliada e o risco de novas ocorrências descartado. Ninguém ficou ferido,"inspeção predial,desabamento,risco de colapso,Defesa Civil",23:00,Mais um prédio é evacuado em Fortaleza após desabamento parcial de fachada
Samuel Quintela,18 de Novembro de 2019,Negócios,2176281,https://diariodonordeste.verdesmares.com.br/editorias/negocios/porto-do-mucuripe-entrara-em-lista-de-prioridades-de-privatizacoes-1.2176281,0,0,"Reunião que definirá qualificação do Terminal na carteira do Programa de Parcerias de Investimento (PPI) deve ser realizada hoje (19). Além do equipamento na Capital, outros três deverão ser incluídos no projeto",Economia,23:00,Porto do Mucuripe entrará em lista de prioridades de privatizações
Redação,18 de Novembro de 2019,Jogada,2176342,https://diariodonordeste.verdesmares.com.br/editorias/jogada/ceara-sedia-7-etapa-do-mundial-de-kiteboard-que-encerra-circuito-1.2176342,0,0,"O SuperKite começa nesta terça-feira, dia 19, e vai até sábado dia 23. Nele, será definido o campeão mundial masculino após seis etapas realizadas. Dos 50 competidores inscritos, 11 são brasileiros, sendo nove cearenses","Esportes,kitesurf",23:00,"Ceará sedia 7ª etapa do Mundial de Kiteboard, que encerra circuito"
Redação,18 de Novembro de 2019,Negócios,2176354,https://diariodonordeste.verdesmares.com.br/editorias/negocios/novo-aeroporto-de-sobral-vai-receber-investimento-de-ate-r-61-8-mi-1.2176354,0,0,"Edital de licitação para construção de pista, acesso e serviços complementares foi lançado ontem. Já a edificação do terminal de passageiros ficará para depois, em um segundo edital. Azul confirmou interesse em operar na cidade","Economia,aeroporto",23:00,"Novo Aeroporto de Sobral vai receber investimento de até R$ 61,8 mi"
